0.000000000000000000e+00 -1.164565834554127238e-01 9.553610585795306934e-03 -1.924478210830968608e-02 -1.456156632491882076e-02 -1.141252358725000984e-02 -1.126747062878677083e-03 -4.255990537787900443e-03 -1.141446220572165521e-04 4.621371291401826483e-04
1.000000000000000056e-01 -4.321281268295296130e-02 1.000281346941874795e-02 6.595687963811032103e-03 -1.615146289032019788e-02 -2.471459285948129914e-02 -6.629391181325573583e-03 -9.213347866101950778e-03 -7.445286360552033286e-03 -9.009733018322660034e-03
2.000000000000000111e-01 -5.007546209476938792e-02 8.967836164405541127e-03 3.372833232801225600e-02 -2.353243718029618750e-02 2.893642444279753700e-03 -1.437448370404206810e-02 -1.635563449431958263e-02 -1.516431603806797299e-02 -1.510862143479486941e-02
3.000000000000000444e-01 -7.778939645709283257e-04 -8.696959006754328980e-02 2.391943322332314853e-02 1.226606111720436598e-04 -2.083133532725026105e-02 -9.091724048863429608e-03 -1.976555680190515002e-02 -1.993594258369350489e-02 -1.917912226671197179e-02
4.000000000000000222e-01 5.334416630704534590e-02 -7.758207964212187127e-03 -2.220500566930119421e-02 -1.002608751086446828e-02 -1.492424486417787827e-02 -2.202038708733548844e-02 -1.986605721162734359e-02 -2.082772013775427422e-02 -2.202978956982344638e-02
5.000000000000000000e-01 2.454605502364341774e-02 -8.141929287399174431e-02 -1.548168392221546674e-02 2.788742894741892686e-02 -1.098227246829091772e-02 -1.873274105882491089e-02 -2.436414941005934226e-02 -1.985715281518795478e-02 -1.999295838703513822e-02
6.000000000000000888e-01 -6.909204574467090604e-03 9.292150124620927876e-02 -5.689404081911028643e-05 -2.769063444686520326e-02 -1.789522111812509239e-02 -3.090669453629090249e-02 -1.551560982084741226e-02 -1.437490464736839064e-02 -1.843172029712220744e-02
7.000000000000000666e-01 6.193129259718146984e-02 7.292762462886552555e-02 2.754703727348507825e-02 -1.344605660286238291e-02 -1.143803488381523251e-02 -1.078677476294958443e-02 -8.368803396944598030e-03 -9.259726826067456867e-03 -1.340412192419825586e-02
8.000000000000000444e-01 -1.818001466069424088e-01 -6.029786179801198409e-02 -4.199065568079542871e-02 -8.741335222062737373e-03 -1.279063536168978214e-02 -4.839013437056695170e-03 -1.861939160066321264e-03 -3.353002369065510684e-03 -4.855397079296924073e-03
9.000000000000000222e-01 5.851170928282301009e-02 5.125875258372364351e-02 2.993230244706319293e-02 -8.999794176624919748e-03 1.606735376520610891e-03 1.092912888928116583e-02 1.864060800703939199e-03 2.980737764345198909e-03 4.062241957634236088e-03
